Name,lambda_ex,lambda_em,stokes,E,QY,brightness,agg,pka,bleach,mature,lifetime,DOI
TagBFP,402,457,55,52000,0.63,32.8,m,2.7,34,,2.6,10.1016/j.chembiol.2008.08.006
mTagBFP2,399,454,55,50600,0.64,32.4,m,2.7,53,,2.6,10.1371/journal.pone.0028674
Azurite,383,450,67,26200,0.55,14.4,m,5,33,,3.4,10.1038/nbt1264
EBFP2,383,448,65,32000,0.56,18,m,4.5,55,,3,10.1021/bi700199g
mKalama1,385,456,71,36000,0.45,16,m,5.5,,,,10.1021/bi700199g
Sirius,355,424,69,15000,0.24,3.6,m,3,,,,10.1038/nmeth.1317
Sapphire,399,511,112,29000,0.64,18.6,m,,,,,10.1016/S0091-679X(08)61946-9 
T-Sapphire,399,511,112,44000,0.6,26.4,m,4.9,25,,,10.1186/1472-6750-3-5
ECFP,433,475,42,32500,0.4,13,m,4.7,,,,
Cerulean,433,475,42,43000,0.62,26.7,m,4.7,36,,,10.1038/nbt945
mCerulean3,433,475,42,40000,0.8,32,m,4.7,,,,10.1371/journal.pone.0017896
SCFP3A,433,474,41,30000,0.56,16.8,m,4.5,,,,10.1021/bi0516273
mTurquoise,434,474,40,30000,0.84,25.2,m,,,,,10.1038/nmeth.1415 
mTurquoise2,434,474,40,30000,0.93,27.9,m,3.1,90,,,10.1038/ncomms1738 
monomeric Midoriishi-Cyan,470,496,26,22150,0.7,15.5,m,7,,,,10.1042/BJ20040321
TagCFP,458,480,22,37000,0.57,21,m,4.7,,,,
mTFP1,462,492,30,64000,0.85,54,m,4.3,,,,10.1042/BJ20060874 
EGFP,488,507,19,56000,0.6,33.6,m,6,174,25,,
Emerald,487,509,22,57500,0.68,37.3,m,6,101,,,10.1016/S0091-679X(08)61946-9 
Superfolder GFP,485,510,25,83300,0.65,54.1,m,,,,,10.1038/nbt1172 
Monomeric Azami Green,492,505,13,55000,0.74,40.7,m,5.8,,,,10.1074/jbc.M304063200 
TagGFP2,483,506,23,56500,0.6,33.9,m,4.7,,,,10.1016/j.chembiol.2008.08.006
mUKG,483,499,16,60000,0.72,43.2,m,5.2,,,,10.1038/nmeth.1235 
mWasabi,493,509,16,70000,0.8,56,m,6,93,,,10.1186/1741-7007-6-13
Clover,505,515,10,111000,0.76,84.4,m,6.1,50,30,,10.1038/nmeth.2171 
mNeonGreen,506,517,11,116000,0.8,92.8,m,5.7,158,10,,10.1038/nmeth.2413 
EYFP,513,527,14,83400,0.61,50.9,m,6.9,60,,,
Citrine,516,529,13,77000,0.76,58.5,m,5.7,49,,,10.1074/jbc.M102815200 
Venus,515,528,13,92200,0.57,52.5,m,6,15,,,10.1038/nbt0102-87 
SYFP2,515,527,12,101000,0.68,68.7,m,6,,,,10.1021/bi0516273
TagYFP,508,524,16,64000,0.62,39.7,m,5.5,,,,
Monomeric Kusabira-Orange,548,559,11,51600,0.6,31,m,5,,,,10.1042/BJ20040321
mKOkappa,551,563,12,105000,0.61,64,m,4.2,,,,10.1038/nmeth.1235 
mKO2,551,565,14,63800,0.62,39.6,m,5.5,,,,10.1016/j.cell.2007.12.033
mOrange,548,562,14,71000,0.69,49,m,6.5,9,150,,10.1038/nbt1037 
mOrange2,549,565,16,58000,0.6,34.8,m,6.5,,,,10.1038/nmeth.1209 
mRaspberry,598,625,27,86000,0.15,12.9,m,,,,,10.1073/pnas.0407752101 
mCherry,587,610,23,72000,0.22,15.8,m,4.5,96,40,,10.1038/nbt1037 
mStrawberry,574,596,22,90000,0.29,26.1,m,4.5,15,50,,10.1038/nbt1037 
mTangerine,568,585,17,38000,0.3,11.4,m,5.7,,,,10.1038/nbt1037 
tdTomato,554,581,27,138000,0.69,95.2,td,4.7,98,60,,10.1038/nbt1037 
TagRFP,555,584,29,100000,0.48,49,m,3.8,48,100,,10.1038/nmeth1062 
TagRFP-T,555,584,29,81000,0.41,33.2,m,4.6,337,100,,10.1038/nmeth.1209 
mApple,568,592,24,75000,0.49,36.7,m,6.5,,,,10.1038/nmeth.1209 
mRuby,558,605,47,112000,0.35,39.2,m,4.4,,,,10.1371/journal.pone.0004391 
mRuby2,559,600,41,113000,0.38,43,m,5.3,123,150,,10.1038/nmeth.2171 
FusionRed,580,608,28,95000,0.19,18.05,m,4.6,150,130,,10.1038/ncomms2208
HcRed-Tandem,590,637,47,160000,0.04,6.4,m,,,,,
mKate2,588,633,45,62500,0.4,25,m,5.4,84,20,,10.1042/BJ20081949
mNeptune,600,650,50,67000,0.2,13.4,m,5.4,255,35,,10.1016/j.chembiol.2009.10.009 
NirFP,605,670,65,15700,0.06,0.9,d,4.5,,,,10.1038/nmeth.1501
mKeima Red,440,620,180,14400,0.24,3.5,m,6.5,,,,10.1038/nbt1207 
LSS-mKate1,463,624,161,31200,0.08,2.5,m,3.2,,,,10.1073/pnas.0914365107 
LSS-mKate2,460,605,145,26000,0.17,4.4,m,2.7,,,,10.1073/pnas.0914365107 
mBeRFP,446,611,165,65000,0.27,17.6,m,5.6,,,,10.1371/journal.pone.0064849 
TagRFP657,611,657,46,34000,0.1,3.4,m,5,,,,10.1016/j.bpj.2010.04.025
mPlum,590,649,59,41000,0.1,4.1,m,4.5,53,100,,10.1073/pnas.0407752101 
